"signature","coef","se","pval","fdr"
"Neu_11_CCL4",0.366396668297813,0.257796046110035,0.155239541908754,0.997780300117735
"DC_01_CLEC9A",-0.0768132212356298,0.310008176391992,0.804306139489695,0.997780300117735
"DC_02_CD1C",0.0586609637201652,0.281129125932586,0.834712112143081,0.997780300117735
"DC_03_LAMP3",0.229805019650935,0.268761637710991,0.392522682655606,0.997780300117735
"DC_04_CD207",0.0510008806111288,0.291919478311746,0.861308509638258,0.997780300117735
"DC_05_LILRA4",0.107270214776539,0.271085497543508,0.692321773875851,0.997780300117735
"DC_06_STMN1",-0.0410463330948114,0.27611698422026,0.881825406106936,0.997780300117735
"CAF_S1",-0.0072619484277558,0.351864744197175,0.983534055862028,0.997780300117735
"Normal_Fibroblast",-0.878493838043127,0.427376631542139,0.0398259559432863,0.997780300117735
"TMEscore_CIR",0.0689645677404624,0.244112973958819,0.777551815713567,0.997780300117735
