"cellType","protein","gene_name","r","pval","FDR"
"Astrocytes","ACVRL1","ACVRL1",-0.0117175012808646,0.900651083011859,0.998949638598744
"Astrocytes","c-Kit","KIT",0.0215213073334225,0.818629611946814,0.963507670540707
"Astrocytes","c-Met_pY1235","MET",0.0332018320371754,0.723474066036233,0.963507670540707
"Astrocytes","CD20","MS4A1",-0.0455909228956341,0.626992405916418,0.963507670540707
"Astrocytes","CD31","PECAM1",-0.00139602873029653,0.988133608948776,0.998949638598744
"Astrocytes","CD49b","ITGA2",0.166469676866341,0.0740991918145037,0.493994612096691
"Astrocytes","Claudin-7","CLDN7",-0.113791627201895,0.223887521242844,0.811313219133028
"Astrocytes","E-Cadherin","CDH1",-0.0416558631366905,0.657055978315083,0.963507670540707
"Astrocytes","EGFR","EGFR",0.0838163834520649,0.371038827241303,0.927597068103257
"Astrocytes","EGFR_pY1068","EGFR",0.0508679372085664,0.587623888721998,0.963507670540707
"Astrocytes","EGFR_pY1173","EGFR",0.108625224963696,0.245764857326466,0.811313219133028
"Astrocytes","HER2","ERBB2",-0.0427699518078071,0.648485959561957,0.963507670540707
"Astrocytes","HER2_pY1248","ERBB2",-0.000123565940332781,0.998949638598744,0.998949638598744
"Astrocytes","HER3","ERBB3",-0.075224814371615,0.422229147836374,0.938286995191942
"Astrocytes","HER3_pY1289","ERBB3",0.114453424551108,0.221187694463555,0.811313219133028
"Astrocytes","Heregulin","NRG1",-0.0259816549994272,0.781897397263807,0.963507670540707
"Astrocytes","N-Cadherin","CDH2",-0.0214788225044836,0.818981519959601,0.963507670540707
"Astrocytes","Notch1","NOTCH1",0.203331811353055,0.028585439792278,0.28585439792278
"Astrocytes","P-Cadherin","CDH3",0.248880508290924,0.00705949673806321,0.141189934761264
"Astrocytes","VEGFR2","KDR",0.100318394210573,0.28395962669656,0.811313219133028
"B-cells","ACVRL1","ACVRL1",0.0414770104887048,0.658435977710873,0.972645518348717
"B-cells","c-Kit","KIT",0.0472340691998197,0.614613952304224,0.972645518348717
"B-cells","c-Met_pY1235","MET",-0.0510364109018568,0.586385802066069,0.972645518348717
"B-cells","CD20","MS4A1",0.00211175236440106,0.982050723940392,0.982050723940392
"B-cells","CD31","PECAM1",-0.0949829532067721,0.310480588501142,0.972645518348717
"B-cells","CD49b","ITGA2",-0.0244536472687306,0.794431411951041,0.972645518348717
"B-cells","Claudin-7","CLDN7",-0.150440523756016,0.106976131396995,0.972645518348717
"B-cells","E-Cadherin","CDH1",-0.0126155116271276,0.893080670381871,0.972645518348717
"B-cells","EGFR","EGFR",-0.00895255895365951,0.924013242431282,0.972645518348717
"B-cells","EGFR_pY1068","EGFR",0.103447955692952,0.269129113409844,0.972645518348717
"B-cells","EGFR_pY1173","EGFR",0.0120009477103005,0.898260574878281,0.972645518348717
"B-cells","HER2","ERBB2",0.0412638012408594,0.660082568288217,0.972645518348717
"B-cells","HER2_pY1248","ERBB2",0.0352192037959934,0.707414328085029,0.972645518348717
"B-cells","HER3","ERBB3",-0.0660493458226984,0.481159393081062,0.972645518348717
"B-cells","HER3_pY1289","ERBB3",0.14678533625554,0.115872912717814,0.972645518348717
"B-cells","Heregulin","NRG1",-0.0453603552217757,0.628737788988229,0.972645518348717
"B-cells","N-Cadherin","CDH2",0.0825353760501659,0.378420445275791,0.972645518348717
"B-cells","Notch1","NOTCH1",0.0782576463316364,0.403709621955722,0.972645518348717
"B-cells","P-Cadherin","CDH3",0.0176429980716097,0.850894160070683,0.972645518348717
"B-cells","VEGFR2","KDR",0.064142643662004,0.493936785957752,0.972645518348717
"Basophils","ACVRL1","ACVRL1",0.153191188914807,0.100640320825917,0.182982401501666
"Basophils","c-Kit","KIT",0.162799602380498,0.0807961592262026,0.168110824849715
"Basophils","c-Met_pY1235","MET",0.162474970329808,0.0814111553757963,0.168110824849715
"Basophils","CD20","MS4A1",0.0766139799352857,0.413686159730515,0.486689599682958
"Basophils","CD31","PECAM1",0.214873810637908,0.0205405532421488,0.136937021614325
"Basophils","CD49b","ITGA2",-0.114945786419508,0.219194080658373,0.337221662551342
"Basophils","Claudin-7","CLDN7",0.0188271201827547,0.841014419960053,0.841014419960053
"Basophils","E-Cadherin","CDH1",-0.1347406285804,0.149282665872183,0.248804443120305
"Basophils","EGFR","EGFR",-0.161101137965349,0.0840554124248576,0.168110824849715
"Basophils","EGFR_pY1068","EGFR",-0.063500815341997,0.498277824773923,0.553642027526581
"Basophils","EGFR_pY1173","EGFR",0.0235332196509504,0.802007118814728,0.841014419960053
"Basophils","HER2","ERBB2",-0.300624310695457,0.00104193770221426,0.0104193770221426
"Basophils","HER2_pY1248","ERBB2",-0.194981626528061,0.0359538220899328,0.168110824849715
"Basophils","HER3","ERBB3",-0.173957161865166,0.0618246327035985,0.168110824849715
"Basophils","HER3_pY1289","ERBB3",-0.179411766023268,0.0539716225442192,0.168110824849715
"Basophils","Heregulin","NRG1",0.0903058851798275,0.335014578395456,0.446686104527275
"Basophils","N-Cadherin","CDH2",0.109487096642984,0.24201599236692,0.345737131952742
"Basophils","Notch1","NOTCH1",0.0785357608707112,0.402035728832308,0.486689599682958
"Basophils","P-Cadherin","CDH3",-0.179001280194844,0.0545325029652306,0.168110824849715
"Basophils","VEGFR2","KDR",-0.399764420386016,8.75666795582999e-06,0.0001751333591166
"CD4+_memory_T-cells","ACVRL1","ACVRL1",-0.0867592440018916,0.354418013675947,0.885312265349614
"CD4+_memory_T-cells","c-Kit","KIT",0.00882924555378016,0.925056827303304,0.953578398080827
"CD4+_memory_T-cells","c-Met_pY1235","MET",-0.0197092724688799,0.833670107162608,0.953170792501148
"CD4+_memory_T-cells","CD20","MS4A1",-0.00546414249583782,0.953578398080827,0.953578398080827
"CD4+_memory_T-cells","CD31","PECAM1",0.0300922371557016,0.748463500902463,0.953170792501148
"CD4+_memory_T-cells","CD49b","ITGA2",0.0384470522122472,0.681986004076951,0.953170792501148
"CD4+_memory_T-cells","Claudin-7","CLDN7",0.0719004650005649,0.443082261745599,0.885312265349614
"CD4+_memory_T-cells","E-Cadherin","CDH1",-0.0587264790996277,0.531187359209768,0.885312265349614
"CD4+_memory_T-cells","EGFR","EGFR",-0.0894675367571629,0.339539030865495,0.885312265349614
"CD4+_memory_T-cells","EGFR_pY1068","EGFR",-0.0784197623564056,0.402733391249657,0.885312265349614
"CD4+_memory_T-cells","EGFR_pY1173","EGFR",-0.0623906601069363,0.505833428523881,0.885312265349614
"CD4+_memory_T-cells","HER2","ERBB2",-0.188039203904225,0.0432403648208854,0.643486916387027
"CD4+_memory_T-cells","HER2_pY1248","ERBB2",-0.172324593450558,0.0643486916387027,0.643486916387027
"CD4+_memory_T-cells","HER3","ERBB3",-0.138972253759115,0.136804436829675,0.684022184148375
"CD4+_memory_T-cells","HER3_pY1289","ERBB3",-0.0417247005787479,0.656525146323805,0.953170792501148
"CD4+_memory_T-cells","Heregulin","NRG1",0.0168105424759937,0.857853713251033,0.953170792501148
"CD4+_memory_T-cells","N-Cadherin","CDH2",-0.0279244194186376,0.766041940357358,0.953170792501148
"CD4+_memory_T-cells","Notch1","NOTCH1",-0.149931743732291,0.108181499390441,0.684022184148375
"CD4+_memory_T-cells","P-Cadherin","CDH3",-0.0611387605446884,0.514424564189098,0.885312265349614
"CD4+_memory_T-cells","VEGFR2","KDR",-0.0783096642960471,0.403396227817314,0.885312265349614
"CD4+_naive_T-cells","ACVRL1","ACVRL1",-0.0511408143547416,0.585619156986149,0.822041192708158
"CD4+_naive_T-cells","c-Kit","KIT",0.0140949196654499,0.880630207704793,0.926979166005045
"CD4+_naive_T-cells","c-Met_pY1235","MET",-0.041581066940499,0.657632954166526,0.822041192708158
"CD4+_naive_T-cells","CD20","MS4A1",-0.00465603325367772,0.960437798116388,0.960437798116388
"CD4+_naive_T-cells","CD31","PECAM1",-0.0259897773422875,0.781830916916871,0.91980107872573
"CD4+_naive_T-cells","CD49b","ITGA2",-0.123409371783738,0.18689628967565,0.765428442498276
"CD4+_naive_T-cells","Claudin-7","CLDN7",-0.0852670462860054,0.362786895293833,0.765428442498276
"CD4+_naive_T-cells","E-Cadherin","CDH1",-0.0448837876600624,0.632351864240001,0.822041192708158
"CD4+_naive_T-cells","EGFR","EGFR",-0.0850795076957465,0.363847259275796,0.765428442498276
"CD4+_naive_T-cells","EGFR_pY1068","EGFR",-0.145737735354044,0.118525800966004,0.765428442498276
"CD4+_naive_T-cells","EGFR_pY1173","EGFR",-0.121150904956259,0.19515408684615,0.765428442498276
"CD4+_naive_T-cells","HER2","ERBB2",-0.0918009260014313,0.327041650423737,0.765428442498276
"CD4+_naive_T-cells","HER2_pY1248","ERBB2",-0.134074112908995,0.151323822839902,0.765428442498276
"CD4+_naive_T-cells","HER3","ERBB3",-0.113023931741291,0.227048393793675,0.765428442498276
"CD4+_naive_T-cells","HER3_pY1289","ERBB3",0.0846637716928383,0.366204687216253,0.765428442498276
"CD4+_naive_T-cells","Heregulin","NRG1",-0.0817972147576139,0.382714221249138,0.765428442498276
"CD4+_naive_T-cells","N-Cadherin","CDH2",-0.0591428724588623,0.528274467275745,0.812729949654993
"CD4+_naive_T-cells","Notch1","NOTCH1",-0.0697284288873821,0.457014997963463,0.812729949654993
"CD4+_naive_T-cells","P-Cadherin","CDH3",0.0201285518000116,0.830184392566703,0.922427102851892
"CD4+_naive_T-cells","VEGFR2","KDR",-0.0647194765062701,0.490052453318531,0.812729949654993
"CD4+_T-cells","ACVRL1","ACVRL1",-0.151080034422716,0.10547596899961,0.272736211837918
"CD4+_T-cells","c-Kit","KIT",0.0638461788741072,0.495939455454843,0.628669508199356
"CD4+_T-cells","c-Met_pY1235","MET",-0.212292587877027,0.0221466687712328,0.272736211837918
"CD4+_T-cells","CD20","MS4A1",-0.140536657915917,0.132398036051473,0.294217857892162
"CD4+_T-cells","CD31","PECAM1",-0.152917111959246,0.101258070230597,0.272736211837918
"CD4+_T-cells","CD49b","ITGA2",0.0424488969285205,0.650950997965392,0.723278886628213
"CD4+_T-cells","Claudin-7","CLDN7",0.114821144391704,0.219697558783803,0.397994301170172
"CD4+_T-cells","E-Cadherin","CDH1",0.11863229186823,0.204670866688547,0.397994301170172
"CD4+_T-cells","EGFR","EGFR",0.0196087863473081,0.834505989264299,0.834505989264299
"CD4+_T-cells","EGFR_pY1068","EGFR",0.110234673540071,0.238796580702103,0.397994301170172
"CD4+_T-cells","EGFR_pY1173","EGFR",-0.15515246530473,0.0963058230938636,0.272736211837918
"CD4+_T-cells","HER2","ERBB2",0.20478821821801,0.0274416838591487,0.272736211837918
"CD4+_T-cells","HER2_pY1248","ERBB2",0.149549315990294,0.109094484735167,0.272736211837918
"CD4+_T-cells","HER3","ERBB3",0.168975869473747,0.069788789697709,0.272736211837918
"CD4+_T-cells","HER3_pY1289","ERBB3",-0.0489287192145774,0.601960003523232,0.708188239439097
"CD4+_T-cells","Heregulin","NRG1",-0.0628154111816174,0.502935606559485,0.628669508199356
"CD4+_T-cells","N-Cadherin","CDH2",-0.0915971715976072,0.328121040318594,0.468744343312277
"CD4+_T-cells","Notch1","NOTCH1",-0.0942461702305813,0.314265749544059,0.468744343312277
"CD4+_T-cells","P-Cadherin","CDH3",0.0347603458997569,0.711056198605893,0.748480209058835
"CD4+_T-cells","VEGFR2","KDR",0.17938847964926,0.0540033129998437,0.272736211837918
"CD4+_Tcm","ACVRL1","ACVRL1",-0.10176306875127,0.277047032121925,0.503721876585317
"CD4+_Tcm","c-Kit","KIT",0.19858839921748,0.0325953796726121,0.231220752878846
"CD4+_Tcm","c-Met_pY1235","MET",-0.0883337544961287,0.345719096777571,0.531875533503956
"CD4+_Tcm","CD20","MS4A1",0.113478129493136,0.225174530244825,0.450349060489651
"CD4+_Tcm","CD31","PECAM1",0.0247373495167763,0.792100177943908,0.814878200784611
"CD4+_Tcm","CD49b","ITGA2",-0.253329522378236,0.00607321628442194,0.121464325688439
"CD4+_Tcm","Claudin-7","CLDN7",-0.136097019502395,0.145192946939235,0.381428975867641
"CD4+_Tcm","E-Cadherin","CDH1",-0.0451816105657488,0.630092285994356,0.742412016102056
"CD4+_Tcm","EGFR","EGFR",-0.196311492592015,0.034683112931827,0.231220752878846
"CD4+_Tcm","EGFR_pY1068","EGFR",-0.0359911485789403,0.701302460251429,0.779224955834921
"CD4+_Tcm","EGFR_pY1173","EGFR",-0.133669991881385,0.152571590347056,0.381428975867641
"CD4+_Tcm","HER2","ERBB2",0.0450552964965068,0.631050213686747,0.742412016102056
"CD4+_Tcm","HER2_pY1248","ERBB2",0.0647884323697406,0.489589199228604,0.652785598971471
"CD4+_Tcm","HER3","ERBB3",0.0219744767214641,0.814878200784611,0.814878200784611
"CD4+_Tcm","HER3_pY1289","ERBB3",-0.137368938624804,0.141435391311207,0.381428975867641
"CD4+_Tcm","Heregulin","NRG1",0.0799286745026953,0.39371418308285,0.562448832975499
"CD4+_Tcm","N-Cadherin","CDH2",-0.0929154990103357,0.32117751656278,0.531875533503956
"CD4+_Tcm","Notch1","NOTCH1",-0.147228448725312,0.11476475537675,0.381428975867641
"CD4+_Tcm","P-Cadherin","CDH3",-0.115903772759099,0.215351671966621,0.450349060489651
"CD4+_Tcm","VEGFR2","KDR",-0.140472757390502,0.132575871065425,0.381428975867641
"CD4+_Tem","ACVRL1","ACVRL1",0.0367466445311562,0.695339233463234,0.853608798097573
"CD4+_Tem","c-Kit","KIT",0.146531422046369,0.116511643766221,0.466046575064884
"CD4+_Tem","c-Met_pY1235","MET",-0.109990832703041,0.239843378427325,0.610747383577844
"CD4+_Tem","CD20","MS4A1",-0.0521120948676931,0.578509057092383,0.805826712222362
"CD4+_Tem","CD31","PECAM1",-0.0732120499856155,0.434786355677422,0.668902085657572
"CD4+_Tem","CD49b","ITGA2",-0.197176056919985,0.0338774779206449,0.466046575064884
"CD4+_Tem","Claudin-7","CLDN7",-0.181739713561534,0.0508799487111925,0.466046575064884
"CD4+_Tem","E-Cadherin","CDH1",-0.106634368535732,0.254577478042168,0.610747383577844
"CD4+_Tem","EGFR","EGFR",-0.0942700424503318,0.31414264057547,0.610747383577844
"CD4+_Tem","EGFR_pY1068","EGFR",0.0744872203220516,0.426806305069574,0.668902085657572
"CD4+_Tem","EGFR_pY1173","EGFR",-0.0944839095877555,0.313041124824386,0.610747383577844
"CD4+_Tem","HER2","ERBB2",0.0329399966593317,0.725567478382937,0.853608798097573
"CD4+_Tem","HER2_pY1248","ERBB2",0.15580073977039,0.0949059789953764,0.466046575064884
"CD4+_Tem","HER3","ERBB3",0.116943767068075,0.211234815592448,0.610747383577844
"CD4+_Tem","HER3_pY1289","ERBB3",-0.0901392052432603,0.335911060967814,0.610747383577844
"CD4+_Tem","Heregulin","NRG1",0.00552926938639198,0.953025728439309,0.953025728439309
"CD4+_Tem","N-Cadherin","CDH2",0.0245453154548824,0.793677958230261,0.881864398033623
"CD4+_Tem","Notch1","NOTCH1",0.0486047599715843,0.604370034166771,0.805826712222362
"CD4+_Tem","P-Cadherin","CDH3",-0.016009222455979,0.864563285322869,0.910066616129335
"CD4+_Tem","VEGFR2","KDR",-0.147968478028118,0.11293242047897,0.466046575064884
"CD8+_naive_T-cells","ACVRL1","ACVRL1",-0.149857383008986,0.108358554849267,0.250607023383192
